id,vendor,product_name,units,brand,max_price,min_price,avg_price,days_with_price_data
3683025,TandT,Wuyutai Xinyang Green Tea (100g),100g,,49.99,49.99,49.99,134
3683097,TandT,Itoen Unsweetened Green Tea (500ml),500ml,,3.29,1.99,3.09597014925373,134
3683528,TandT,CHUANGS GREEN TEA,,,15.39,13.99,14.000447761194,134
3683529,TandT,CHUANGS JASMINE GREEN TEA,,,15.39,13.99,14.000447761194,134
3683663,TandT,Tao Ti Supreme Meta Green Tea (500ml),500ml,,2.63,2.63,2.63,134
4070382,Walmart,"ORGANICE GREEN TEA 40 COUNT, ORGGRNTEA 40CT",ORGGRNTEA 40CT,Uncle Lee's Tea,7.97,6.97,7.75947368421053,133
806636,Galleria,ITOEN UNSWEETENED ICED BOLD GREEN TEA 500ML,EA,,3.49,3.49,3.49,132
918922,Galleria,ARIZONA GREEN TEA 960ML,EA,,2.99,2.99,2.99,132
1698452,Loblaws,"Natural Hawaiian Oil Free Moisturizer, Aloe & Green Tea",85g,Alba Botanica,17.99,15.99,16.9212977099237,131
4057087,Walmart,"Tetley Pure Green Tea, 24 tea bags",24 tea bags,Tetley Tea,3.97,2.77,3.63106870229008,131
3622818,TandT,Peace Tea Green Tea King Can (695ml),695ml,,1.97,1.97,1.97,130
3683566,TandT,JiaFuLi Green Tea (100g),100g,,8.97,11.99,11.2613846153846,130
4057258,Walmart,"ORGANIC MATCHA GREEN TEA 40 COUNT, ORG MATCHA GREEN TEA",ORG MATCHA GREEN TEA,Uncle Lee's Tea,7.97,6.97,7.75461538461539,130
3678274,TandT,Hime Green Tea Ice Cream (1L),1l,,7.69,4.98,6.80372093023256,129
4070591,Walmart,"Tetley Super Green Tea Boost - with Vitamin B6, 20 tea bags",20 tea bags,Tetley Tea,3.97,2.77,3.5793023255814,129
860520,Galleria,DONGSUH GREEN TEA 75G,PK,,7.99,7.99,7.99,127
3683633,TandT,Wuyutai Biluochun Green Tea (100g) ,,,49.99,49.99,49.99,126
772610,Galleria,ITOEN JASMINE GREEN TEA 2L,EA,,5.98,5.98,5.98,125
918962,Galleria,MACCHA GREEN TEA POWDER 40G,EA,,6.49,6.49,6.49,124
3653023,TandT,Lotte Green Tea Choco Pie (336g),336g,,6.04,4.48,5.70709677419355,124
3683636,TandT,Kutao Jasmine Green Tea (1500ml),1500ml,,4.72,4.72,4.72,124
3683575,TandT,Kuang Chuan Green Tea No Sugar Cold-Brew 585mlx4,,,7.69,7.69,7.69,123
758079,Galleria,ITOEN UNSWEETEND GREEN TEA 500ML,EA,,3.49,3.49,3.49,122
2326081,Metro,"Green Tea Bags, Organic",16un,Life Smart,3.79,2.99,3.59983606557377,122
3482069,TandT,T&T Matcha Green Tea Ice Cream (1L),1l,,6.92,5.47,6.23115702479339,121
3683447,TandT,Arizona Green Tea-Jug (3.78l),3.78l,,6.59,5.99,5.99495867768595,121
3683243,TandT,Itoen Japanese Green Tea Bag (2gx20),2gx20,,6.99,4.98,6.67175,120
4070519,Walmart,"Tetley Mint Green Tea, 24 tea bags",24 tea bags,Tetley Tea,3.97,2.77,3.59372881355932,118
4073264,Walmart,"Lotte Mochi Green Tea, Mochi (rice cake) filled with green tea ice-cream",Mochi (rice cake) filled with green tea ice-cream,Snö,4.97,4.97,4.97,118
919013,Galleria,BROWN RICE GREEN TEA 48G,EA,,7.99,7.99,7.99,117
919049,Galleria,DONGWON GREEN TEA DRINK 1.5L,EA,,3.49,2.48,3.43820512820513,117
1698181,Loblaws,Mochi Ice Dessert Green Tea  ,208g,Buono,8.49,8.49,8.49,117
2327407,Metro,Iced Green Tea With Honey,547ml,Pure Leaf,2/$6.00,2/$6.00,2.0,117
2331931,Metro,Matcha Green Tea Flavoured Ice Cream,450ml,Häagen-Dazs,5.49,2/$10.00,2.55434782608696,115
3683241,TandT,Itoen Traditonal Matcha Green Tea Bag (30g),30g,,8.24,4.98,7.35147826086957,115
17306,Galleria,ITOEN BOLD GREEN TEA 2L,EA,,5.98,5.98,5.98,114
3544253,TandT,Tung-I Green Tea 2l        ,,,5.16,4.69,4.7930701754386,114
2326005,Metro,Honey Lemon Ginseng Green Tea,24un,Tetley,4.99,2/$8.00,3.36663716814159,113
2226584,Metro,Classic Green Tea Bags,48un,Irresistibles,4.99,4.49,4.60171171171171,111
1698525,Loblaws,Naturally Decaffeinated Green Tea,20ea,President's Choice,4.99,2.99,4.62636363636364,110
2325926,Metro,Peppermint Flavoured Green Tea,30g,3 Crown,1.99,1.25,1.86890909090909,110
2326572,Metro,Green Tea Bag,100un,Lipton,9.99,10.49,9.80651376146789,109
2885209,NoFrills,Fresh And Floral Green Tea Green Tea With Jasmine,50g,Taylors of Harrogate,5.99,4.99,5.47623853211009,109
739486,Galleria,ITOEN GREEN TEA 2L,EA,,5.98,5.98,5.98,108
16179,Galleria,GLICO POCKY GREEN TEA 70g,EA,,2.99,2.99,2.99,107
16183,Galleria,GLICO POCKY GREEN TEA 40g,EA,,1.99,1.99,1.99,107
3683727,TandT,T&T Sugar Free Green Tea (2l) ,,,3.99,3.00,3.83271028037383,107
3754991,Walmart,"Glico Pocky Green Tea Cream Coated Biscuit Sticks, 40 g",40g,Glico,1.68,1.37,1.60981132075472,106
2325983,Metro,Naturally Decaffeinated Green Tea,24un,Tetley,4.99,2/$8.00,3.32371428571429,105
3680049,TandT,Royal Family Green Tea Mochi 210g                ,,,3.29,2.99,3.10714285714286,105
2325924,Metro,Pure Green Tea,48un,Tetley,9.79,6.99,9.27076923076923,104
2326133,Metro,Organic Jasmine Flavoured Green Tea,18un,Celestial Organics,5.49,4.99,5.41307692307692,104
2326455,Metro,Green Tea With Pure Matcha,20un,Tetley,4.99,2/$8.00,3.46567307692308,104
2326914,Metro,Organic Green Tea Bags,100un,Uncle Lee's Tea,9.99,8.99,9.91884615384615,104
3683242,TandT,Itoen Japaness Green Tea With Roasted Rice (2gx20),2gx20,,6.59,4.98,6.49621359223301,103
2326528,Metro,Organic Pure Green Tea,18un,Celestial Organics,5.49,4.99,5.41156862745098,102
2330831,Metro,Frozen Green Tea Flavoured Mochi,9x30ml,Yukimi,6.99,6.99,6.99,102
3558620,TandT,Ujinotsuyu Japanese Sencha Green Tea Bag 2gx20     ,,,5.49,5.49,5.49,102
3558631,TandT,Lupicia Sakura Green Tea (50g) ,,,27.49,27.49,27.49,102
17284,Galleria,ITOEN MATCHA GREEN TEA 500ml,EA,,3.49,3.49,3.49,101
917491,Galleria,LOTTE YUKIMI DAIFUKU GREEN TEA 243ML,EA,,5.98,5.98,5.98,101
3558819,TandT,C2 Green Tea Apple Flavour (500ml),500ml,,2.19,1.79,1.94841584158416,101
3679002,TandT,Golden Bonbon Green Tea Nougat Candy (454g),454g,,15.99,15.99,15.99,100
3680023,TandT,Glico Pocky Green Tea 40g       ,,,2.19,1.99,2.068,100
3683585,TandT,Yama Moto Yama Organic Sencha Green Tea (226g),226g,,8.79,7.99,7.998,100
3552125,TandT,T&T Bakery Green Tea Green Tea Mousse Mochi Cake (33gx4),33gx4,,5.99,5.89,5.8910101010101,99
4038067,Walmart,"Lipton Green Tea Lemon Ginseng, Lipton Green Tea Lemon Ginseng 72 count",Lipton Green Tea Lemon Ginseng 72 count,Lipton,6.97,6.97,6.97,99
2872548,NoFrills,Honey & Lemon Green Tea,30g,Wissotzky,3.99,2.99,3.46959183673469,98
3683245,TandT,T&T Organic Green Tea Tea Bag (200g),200g,,8.02,7.29,7.58051020408163,98
3683448,TandT,T&T Jasmine Green Tea (1.23L),1.23l,,3.29,2.50,3.17714285714286,98
3809789,Walmart,"Arizona Premium Brewed Ginseng and Honey Green Tea, 8 x 200 ML",8 x 200ml,AriZona,4.48,3.98,4.11265306122449,98
2068998,Metro,Pure Green Tea,24un,Tetley,4.99,2/$8.00,3.54072164948454,97
2326546,Metro,Mint Green Tea,24un,Tetley,4.99,2/$8.00,3.56123711340206,97
3656892,TandT,Takaokaya Green Tea Bag-16Pcs,,,4.17,4.17,4.17,97
117192,Galleria,CION MINI GREEN TEA CASTELLA 30G*6,PK,,5.99,5.99,5.99,96
2873547,NoFrills,"Kosher Green Tea, Jasmine",30g,Wissotzky,3.99,3.49,3.52645833333333,96
2873548,NoFrills,"Kosher Green Tea, Wildberry & Passion Fruit",30g,Wissotzky,3.99,2.99,3.46395833333333,96
2873914,NoFrills,Kosher Spearmint Green Tea,30g,Wissotzky,3.99,2.99,3.46395833333333,96
3683443,TandT,T&T Non-Sugar Jasmine Green Tea (1.23L),1.23l,,3.62,2.50,3.45666666666667,96
2325929,Metro,Naturally Decaffeinated Green Tea,48un,Tetley,9.79,6.99,9.36473684210526,95
2872147,NoFrills,Green Tea With Citrus Fruits,20ea,Wissotzky,3.99,2.99,3.46368421052632,95
919067,Galleria,ITOEN MATCHA GREEN TEA GINGER 30g,EA,,8.99,8.99,8.99,94
1935160,Metro,Green Tea,20un,Twinings,6.49,2.99,5.89744680851064,94
2326470,Metro,Lemon Ginseng Green Tea,72un,Lipton,9.99,10.49,10.0325531914894,94
2872137,NoFrills,Green Tea,20ea,Galil,3.99,3.69,3.91978723404255,94
2872148,NoFrills,"Green Tea, Apple & Cinnamon",30g,Wissotzky,3.99,2.99,3.46340425531915,94
62170,NoFrills,Green Tea,56g,Tradition,5.99,5.99,5.99,93
3680714,TandT,Samkwang Almond Green Tea Spread (250g),250g,,9.99,10.99,10.3878494623656,93
10622,Voila,Farm Boy Organic Lemon Ginger Green Tea 30 g,30g,,6.49,6.49,6.49,92
2327411,Metro,"Green Tea Bags, Zen",20un,Tazo,6.99,2/$10.00,3.76844444444444,90
3416664,TandT,MILK FLAVOR GREEN TEA,,,6.59,2.91,5.974,90
3683444,TandT,Kutao Plum Green Tea (1500ml),1500ml,,4.72,4.29,4.30932584269663,89
87191,TandT,Kirin Green Tea Drink 525ml,,,3.29,1.55,3.21090909090909,88
3611882,TandT,Glico Sakura Green Tea Pocky (114g),114g,,6.99,3.97,6.50954545454545,88
3679703,TandT,Solmoi Olive & Green Tea Seaweed (70g),70g,,3.69,3.69,3.69,88
3683244,TandT,Itoen Jasmine Matcha Green Tea Bag (30g),30g,,8.24,4.98,7.4575,88
2027361,Metro,Green Tea With Lemon And Honey,478ml,Good Drink,3.49,2/$6.00,3.0716091954023,87
3682966,TandT,Royal Tea Jade Green Tea (500ml),500ml,,1.99,1.99,1.99,86
3683664,TandT,Gudao Passion Fruit Green Tea (600g),600g,,2.29,2.29,2.29,86
721918,Voila,Arizona Green Tea With Ginseng & Honey 680 ml (can),680ml,,1.69,1.69,1.69,85
3668889,TandT,Royal Tea Honey Green Tea (500ml),500ml,,1.99,1.99,1.99,84
